대영역,세부영역,세부지표,방향성,비교시작연도,비교기준연도,지역,시작값,기준값,변화량,방향성기준결과,기준연도순위,실측연도수,결측연도수,비교기간실측연도수,비교기간결측연도수,급등락후보연도,단위,출처,관측기간,자료기준
사회·문화,사회적 가치관,가사분담에 대한 성평등 인식,높을수록 양호,2016,2024,부산,0.7827827827827827,0.8334999999999999,0.050717217217217225,개선,14,5,4,5,4,-,점(0–1 변환점수),"2016,2018,2020,2022,2024_가사_분담에_대한_견해_13세_이상_인구__20260715194953.csv",2016–2024,검증 원자료 기준
사회·문화,사회적 가치관,가사분담에 대한 성평등 인식,높을수록 양호,2016,2024,대구,0.7555000000000003,0.8339999999999999,0.07849999999999957,개선,13,5,4,5,4,-,점(0–1 변환점수),"2016,2018,2020,2022,2024_가사_분담에_대한_견해_13세_이상_인구__20260715194953.csv",2016–2024,검증 원자료 기준
사회·문화,사회적 가치관,가사분담에 대한 성평등 인식,높을수록 양호,2016,2024,인천,0.7832832832832834,0.8813813813813813,0.09809809809809789,개선,3,5,4,5,4,-,점(0–1 변환점수),"2016,2018,2020,2022,2024_가사_분담에_대한_견해_13세_이상_인구__20260715194953.csv",2016–2024,검증 원자료 기준
사회·문화,사회적 가치관,가사분담에 대한 성평등 인식,높을수록 양호,2016,2024,광주,0.7552552552552552,0.8604999999999998,0.10524474474474466,개선,7,5,4,5,4,-,점(0–1 변환점수),"2016,2018,2020,2022,2024_가사_분담에_대한_견해_13세_이상_인구__20260715194953.csv",2016–2024,검증 원자료 기준
사회·문화,사회적 가치관,가사분담에 대한 성평등 인식,높을수록 양호,2016,2024,대전,0.7789999999999999,0.8805000000000001,0.10150000000000015,개선,4,5,4,5,4,-,점(0–1 변환점수),"2016,2018,2020,2022,2024_가사_분담에_대한_견해_13세_이상_인구__20260715194953.csv",2016–2024,검증 원자료 기준
사회·문화,사회적 가치관,가사분담에 대한 성평등 인식,높을수록 양호,2016,2024,울산,0.7615000000000001,0.8290000000000002,0.06750000000000012,개선,15,5,4,5,4,-,점(0–1 변환점수),"2016,2018,2020,2022,2024_가사_분담에_대한_견해_13세_이상_인구__20260715194953.csv",2016–2024,검증 원자료 기준
사회·문화,사회적 가치관,가사분담에 대한 성평등 인식,높을수록 양호,2016,2024,세종,0.7635000000000001,0.898101898101898,0.13460189810189793,개선,1,5,4,5,4,-,점(0–1 변환점수),"2016,2018,2020,2022,2024_가사_분담에_대한_견해_13세_이상_인구__20260715194953.csv",2016–2024,검증 원자료 기준
사회·문화,사회적 가치관,가사분담에 대한 성평등 인식,높을수록 양호,2016,2024,경기,0.7805,0.8579999999999999,0.0774999999999999,개선,8,5,4,5,4,-,점(0–1 변환점수),"2016,2018,2020,2022,2024_가사_분담에_대한_견해_13세_이상_인구__20260715194953.csv",2016–2024,검증 원자료 기준
사회·문화,사회적 가치관,가사분담에 대한 성평등 인식,높을수록 양호,2016,2024,강원,0.7759999999999998,0.863,0.08700000000000019,개선,6,5,4,5,4,-,점(0–1 변환점수),"2016,2018,2020,2022,2024_가사_분담에_대한_견해_13세_이상_인구__20260715194953.csv",2016–2024,검증 원자료 기준
사회·문화,사회적 가치관,가사분담에 대한 성평등 인식,높을수록 양호,2016,2024,충북,0.7627627627627627,0.835,0.0722372372372373,개선,12,5,4,5,4,-,점(0–1 변환점수),"2016,2018,2020,2022,2024_가사_분담에_대한_견해_13세_이상_인구__20260715194953.csv",2016–2024,검증 원자료 기준
사회·문화,사회적 가치관,가사분담에 대한 성평등 인식,높을수록 양호,2016,2024,충남,0.7542542542542543,0.8514999999999999,0.09724574574574563,개선,9,5,4,5,4,-,점(0–1 변환점수),"2016,2018,2020,2022,2024_가사_분담에_대한_견해_13세_이상_인구__20260715194953.csv",2016–2024,검증 원자료 기준
사회·문화,사회적 가치관,가사분담에 대한 성평등 인식,높을수록 양호,2016,2024,전북,0.7770000000000001,0.8413413413413413,0.06434134134134117,개선,11,5,4,5,4,-,점(0–1 변환점수),"2016,2018,2020,2022,2024_가사_분담에_대한_견해_13세_이상_인구__20260715194953.csv",2016–2024,검증 원자료 기준
사회·문화,사회적 가치관,가사분담에 대한 성평등 인식,높을수록 양호,2016,2024,전남,0.7865,0.8694999999999999,0.08299999999999996,개선,5,5,4,5,4,-,점(0–1 변환점수),"2016,2018,2020,2022,2024_가사_분담에_대한_견해_13세_이상_인구__20260715194953.csv",2016–2024,검증 원자료 기준
사회·문화,사회적 가치관,가사분담에 대한 성평등 인식,높을수록 양호,2016,2024,경북,0.756,0.8151848151848153,0.05918481518481533,개선,16,5,4,5,4,-,점(0–1 변환점수),"2016,2018,2020,2022,2024_가사_분담에_대한_견해_13세_이상_인구__20260715194953.csv",2016–2024,검증 원자료 기준
사회·문화,사회적 가치관,가사분담에 대한 성평등 인식,높을수록 양호,2016,2024,경남,0.7462462462462462,0.7970000000000002,0.050753753753753905,개선,17,5,4,5,4,-,점(0–1 변환점수),"2016,2018,2020,2022,2024_가사_분담에_대한_견해_13세_이상_인구__20260715194953.csv",2016–2024,검증 원자료 기준
사회·문화,사회적 가치관,가사분담에 대한 성평등 인식,높을수록 양호,2016,2024,제주,0.7870000000000001,0.8500000000000003,0.06300000000000017,개선,10,5,4,5,4,-,점(0–1 변환점수),"2016,2018,2020,2022,2024_가사_분담에_대한_견해_13세_이상_인구__20260715194953.csv",2016–2024,검증 원자료 기준
사회·문화,일·가정 양립 여건,가족친화 인증기업 비율,높을수록 양호,2016,2024,서울,0.1216303033212846,0.4289250377630676,0.307294734441783,개선,4,9,0,9,0,-,%,2016_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194020.csv; 2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv; 2024_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194241.csv; 가족친화인증기업현황_20181231.csv; 가족친화인증기업현황_20221231.csv; 가족친화인증기업현황_20231231.csv; 가족친화인증기업현황_20241231.csv; 가족친화인증기업현황_20251201.csv,2016–2024,검증 원자료 기준
사회·문화,일·가정 양립 여건,가족친화 인증기업 비율,높을수록 양호,2016,2024,부산,0.0899241128218625,0.2633125149609383,0.17338840213907583,개선,11,9,0,9,0,-,%,2016_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194020.csv; 2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv; 2024_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194241.csv; 가족친화인증기업현황_20181231.csv; 가족친화인증기업현황_20221231.csv; 가족친화인증기업현황_20231231.csv; 가족친화인증기업현황_20241231.csv; 가족친화인증기업현황_20251201.csv,2016–2024,검증 원자료 기준
사회·문화,일·가정 양립 여건,가족친화 인증기업 비율,높을수록 양호,2016,2024,대구,0.0591909860584088,0.238995779202982,0.1798047931445732,개선,14,9,0,9,0,-,%,2016_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194020.csv; 2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv; 2024_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194241.csv; 가족친화인증기업현황_20181231.csv; 가족친화인증기업현황_20221231.csv; 가족친화인증기업현황_20231231.csv; 가족친화인증기업현황_20241231.csv; 가족친화인증기업현황_20251201.csv,2016–2024,검증 원자료 기준
사회·문화,일·가정 양립 여건,가족친화 인증기업 비율,높을수록 양호,2016,2024,인천,0.0690667357334024,0.2657591342752806,0.1966923985418782,개선,10,9,0,9,0,-,%,2016_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194020.csv; 2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv; 2024_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194241.csv; 가족친화인증기업현황_20181231.csv; 가족친화인증기업현황_20221231.csv; 가족친화인증기업현황_20231231.csv; 가족친화인증기업현황_20241231.csv; 가족친화인증기업현황_20251201.csv,2016–2024,검증 원자료 기준
사회·문화,일·가정 양립 여건,가족친화 인증기업 비율,높을수록 양호,2016,2024,광주,0.0501504513540621,0.2407980736154111,0.19064762226134901,개선,13,9,0,9,0,-,%,2016_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194020.csv; 2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv; 2024_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194241.csv; 가족친화인증기업현황_20181231.csv; 가족친화인증기업현황_20221231.csv; 가족친화인증기업현황_20231231.csv; 가족친화인증기업현황_20241231.csv; 가족친화인증기업현황_20251201.csv,2016–2024,검증 원자료 기준
사회·문화,일·가정 양립 여건,가족친화 인증기업 비율,높을수록 양호,2016,2024,대전,0.2646178553179064,0.5830191314062282,0.3184012760883218,개선,2,9,0,9,0,"2017, 2018, 2019, 2022",%,2016_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194020.csv; 2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv; 2024_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194241.csv; 가족친화인증기업현황_20181231.csv; 가족친화인증기업현황_20221231.csv; 가족친화인증기업현황_20231231.csv; 가족친화인증기업현황_20241231.csv; 가족친화인증기업현황_20251201.csv,2016–2024,검증 원자료 기준
사회·문화,일·가정 양립 여건,가족친화 인증기업 비율,높을수록 양호,2016,2024,울산,0.0453172205438066,0.195959007494108,0.1506417869503014,개선,16,9,0,9,0,-,%,2016_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194020.csv; 2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv; 2024_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194241.csv; 가족친화인증기업현황_20181231.csv; 가족친화인증기업현황_20221231.csv; 가족친화인증기업현황_20231231.csv; 가족친화인증기업현황_20241231.csv; 가족친화인증기업현황_20251201.csv,2016–2024,검증 원자료 기준
