지역,대분류,중분류,원본_소계값,leaf_합계,차이,오차율(%),QA_병합상태,결과,허용기준결과
충남,"Ⅱ. 지자체
자체사업","2. 건강하고 능동적인 고령사회
구축(자체)",65201.0,37322.0,-27879.0,-42.76,양쪽존재,불일치,초과
충남,"Ⅱ. 지자체
자체사업",3. 모두의 역량이 고루 발휘되는 사회(자체),509723.0,473824.0,-35899.0,-7.04,양쪽존재,불일치,허용
충남,"Ⅱ. 지자체
자체사업",4.인구구조 변화에 대한 적응(자체),12798.0,1109.0,-11689.0,-91.33,양쪽존재,불일치,초과
충북,Ⅰ. 공통사업,1. 함께 일하고 함께 돌보는 사회(공통),570612.0,570612.0,0.0,0.0,양쪽존재,일치,허용
충북,Ⅰ. 공통사업,"2. 건강하고 능동적인
고령사회(공통)",1077848.0,1077848.0,0.0,0.0,양쪽존재,일치,허용
충북,Ⅰ. 공통사업,3. 모두의 역량이 고루 발휘되는 사회(공통),147332.0,147332.0,0.0,0.0,양쪽존재,일치,허용
충북,Ⅰ. 공통사업,4.인구구조 변화에 대한 적응(공통),97929.0,97929.0,0.0,0.0,양쪽존재,일치,허용
충북,Ⅱ. 지자체 자체사업,1. 함께 일하고 함께 돌보는 사회(자체),121958.0,121959.0,1.0,0.0,양쪽존재,불일치,허용
충북,Ⅱ. 지자체 자체사업,"2. 건강하고 능동적인 고령사회
구축(자체)",36615.0,36616.0,1.0,0.0,양쪽존재,불일치,허용
충북,Ⅱ. 지자체 자체사업,3. 모두의 역량이 고루 발휘되는 사회(자체),40196.0,40196.0,0.0,0.0,양쪽존재,일치,허용
충북,Ⅱ. 지자체 자체사업,4.인구구조 변화에 대한 적응(자체),116980.0,116979.0,-1.0,-0.0,양쪽존재,불일치,허용
