연도,지역,분모대안,예산단계,행정범위,회계범위,금액기준,분모금액_원,분모금액_백만원,출처
2023,경기,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,10789510823000,10789510.823,행정안전부 지방재정365 기능별 회계별 세출예산
2023,경남,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,3554161328000,3554161.328,행정안전부 지방재정365 기능별 회계별 세출예산
2023,경북,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,3562627405000,3562627.405,행정안전부 지방재정365 기능별 회계별 세출예산
2023,광주,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,3853982250000,3853982.25,행정안전부 지방재정365 기능별 회계별 세출예산
2023,대구,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,5618576659000,5618576.659,행정안전부 지방재정365 기능별 회계별 세출예산
2023,대전,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,3442132528000,3442132.528,행정안전부 지방재정365 기능별 회계별 세출예산
2023,부산,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,7928919575000,7928919.575,행정안전부 지방재정365 기능별 회계별 세출예산
2023,서울,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,24604056704000,24604056.704,행정안전부 지방재정365 기능별 회계별 세출예산
2023,세종,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,1893247236000,1893247.236,행정안전부 지방재정365 기능별 회계별 세출예산
2023,울산,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2537876127000,2537876.127,행정안전부 지방재정365 기능별 회계별 세출예산
2023,인천,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,7838060793000,7838060.793,행정안전부 지방재정365 기능별 회계별 세출예산
2023,전남,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2970912082000,2970912.082,행정안전부 지방재정365 기능별 회계별 세출예산
2023,전북,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2468040097000,2468040.097,행정안전부 지방재정365 기능별 회계별 세출예산
2023,제주,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,6701520126000,6701520.126,행정안전부 지방재정365 기능별 회계별 세출예산
2023,충남,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2668998442000,2668998.442,행정안전부 지방재정365 기능별 회계별 세출예산
2023,충북,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2015300646000,2015300.646,행정안전부 지방재정365 기능별 회계별 세출예산
2024,강원,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2205610646000,2205610.646,행정안전부 지방재정365 기능별 회계별 세출예산
2024,경기,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,11799396643000,11799396.643,행정안전부 지방재정365 기능별 회계별 세출예산
2024,경남,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,3448381889000,3448381.889,행정안전부 지방재정365 기능별 회계별 세출예산
2024,경북,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,3655350114000,3655350.114,행정안전부 지방재정365 기능별 회계별 세출예산
2024,광주,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,3546330256000,3546330.256,행정안전부 지방재정365 기능별 회계별 세출예산
2024,대구,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,5201207931000,5201207.931,행정안전부 지방재정365 기능별 회계별 세출예산
2024,대전,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,3331125425000,3331125.425,행정안전부 지방재정365 기능별 회계별 세출예산
2024,부산,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,7862802382000,7862802.382,행정안전부 지방재정365 기능별 회계별 세출예산
2024,서울,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,23747969655000,23747969.655,행정안전부 지방재정365 기능별 회계별 세출예산
2024,세종,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,1792182760000,1792182.76,행정안전부 지방재정365 기능별 회계별 세출예산
2024,울산,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2578157685000,2578157.685,행정안전부 지방재정365 기능별 회계별 세출예산
2024,인천,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,8387722142000,8387722.142,행정안전부 지방재정365 기능별 회계별 세출예산
2024,전남,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2919897442000,2919897.442,행정안전부 지방재정365 기능별 회계별 세출예산
2024,전북,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2415338392000,2415338.392,행정안전부 지방재정365 기능별 회계별 세출예산
2024,제주,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,6871871526000,6871871.526,행정안전부 지방재정365 기능별 회계별 세출예산
2024,충남,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2970639179000,2970639.179,행정안전부 지방재정365 기능별 회계별 세출예산
2024,충북,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2184196899000,2184196.899,행정안전부 지방재정365 기능별 회계별 세출예산
2016,강원,지역통합_3개회계_순계,당초예산,광역본청+기초,일반+기타특별+공기업특별,순계,9415973114000,9415973.114,행정안전부 지방재정365 기능별 회계별 세출예산
2016,경기,지역통합_3개회계_순계,당초예산,광역본청+기초,일반+기타특별+공기업특별,순계,36249467525000,36249467.525,행정안전부 지방재정365 기능별 회계별 세출예산
2016,경남,지역통합_3개회계_순계,당초예산,광역본청+기초,일반+기타특별+공기업특별,순계,14026791169000,14026791.169,행정안전부 지방재정365 기능별 회계별 세출예산
2016,경북,지역통합_3개회계_순계,당초예산,광역본청+기초,일반+기타특별+공기업특별,순계,15225641095000,15225641.095,행정안전부 지방재정365 기능별 회계별 세출예산
2016,광주,지역통합_3개회계_순계,당초예산,광역본청+기초,일반+기타특별+공기업특별,순계,4106117093000,4106117.093,행정안전부 지방재정365 기능별 회계별 세출예산
2016,대구,지역통합_3개회계_순계,당초예산,광역본청+기초,일반+기타특별+공기업특별,순계,7213154474000,7213154.474,행정안전부 지방재정365 기능별 회계별 세출예산
2016,대전,지역통합_3개회계_순계,당초예산,광역본청+기초,일반+기타특별+공기업특별,순계,4016882713000,4016882.713,행정안전부 지방재정365 기능별 회계별 세출예산
2016,부산,지역통합_3개회계_순계,당초예산,광역본청+기초,일반+기타특별+공기업특별,순계,10573185713000,10573185.713,행정안전부 지방재정365 기능별 회계별 세출예산
2016,서울,지역통합_3개회계_순계,당초예산,광역본청+기초,일반+기타특별+공기업특별,순계,27534501217000,27534501.217,행정안전부 지방재정365 기능별 회계별 세출예산
2016,세종,지역통합_3개회계_순계,당초예산,광역본청+기초,일반+기타특별+공기업특별,순계,1048827518000,1048827.518,행정안전부 지방재정365 기능별 회계별 세출예산
