지역,기준연도,세부영역,구조환경지수_t,구조환경지수_t1,구조환경_t1연도,구조환경지수_변화_t_t1,예산_t2연도,예산_t3연도,계획예산비중_t2_pct,계획예산비중_t3_pct,계획예산비중_변화_t2_t3_pp,예산누락주의_두연도,후행예산비중_증가,대응방향
제주,2019,1-1. 고용여건,47.16003071741051,28.720146569471197,2020.0,-18.43988414793931,2021,2022.0,1.19160158634179,0.9320303379105502,-0.2595712484312397,False,False,하락 후 비중 비증가
충남,2018,1-1. 고용여건,84.3077201389788,80.79951873567651,2019.0,-3.50820140330228,2020,2021.0,0.2425164449446969,3.0999158841659527,2.857399439221256,False,True,하락 후 비중 증가
충남,2019,1-1. 고용여건,80.79951873567651,53.5951680486653,2020.0,-27.204350687011218,2021,2022.0,3.0999158841659527,3.040930059568443,-0.0589858245975096,False,False,하락 후 비중 비증가
충북,2018,1-1. 고용여건,78.56041795199486,75.48478000061841,2019.0,-3.07563795137645,2020,2021.0,1.922651180024127,1.9579270154809751,0.035275835456848,False,True,하락 후 비중 증가
충북,2019,1-1. 고용여건,75.48478000061841,50.55266500751272,2020.0,-24.932114993105692,2021,2022.0,1.9579270154809751,2.084263249355894,0.126336233874919,False,True,하락 후 비중 증가
강원,2016,1-2. 주거안정성,88.02802305891036,87.62740200113974,2017.0,-0.4006210577706213,2018,2019.0,4.360661953901573,5.55688735807505,1.196225404173477,False,True,하락 후 비중 증가
강원,2017,1-2. 주거안정성,87.62740200113974,86.35916719518048,2018.0,-1.268234805959267,2019,2020.0,5.55688735807505,5.233935795900767,-0.3229515621742829,False,False,하락 후 비중 비증가
강원,2019,1-2. 주거안정성,87.64560718463683,87.44301532492295,2020.0,-0.2025918597138769,2021,2022.0,4.261101099860238,5.724190075031849,1.463088975171611,False,True,하락 후 비중 증가
강원,2020,1-2. 주거안정성,87.44301532492295,83.01881852185461,2021.0,-4.424196803068341,2022,2023.0,5.724190075031849,3.3833987374631316,-2.3407913375687177,False,False,하락 후 비중 비증가
강원,2021,1-2. 주거안정성,83.01881852185461,81.88132875587625,2022.0,-1.1374897659783585,2023,2024.0,3.3833987374631316,0.9705091363921438,-2.412889601070988,False,False,하락 후 비중 비증가
경기,2019,1-2. 주거안정성,55.682748661292074,50.864946035119026,2020.0,-4.817802626173048,2021,2022.0,0.069333687614999,0.128923036246124,0.059589348631125,False,True,하락 후 비중 증가
경기,2020,1-2. 주거안정성,50.864946035119026,41.315325404904094,2021.0,-9.549620630214932,2022,2023.0,0.128923036246124,0.0815113078828776,-0.0474117283632464,False,False,하락 후 비중 비증가
경남,2016,1-2. 주거안정성,80.30541135600616,79.6420842314167,2017.0,-0.6633271245894576,2018,2019.0,0.0,0.2522341139486418,0.2522341139486418,False,True,하락 후 비중 증가
경남,2019,1-2. 주거안정성,84.02422102121884,80.2175650951705,2020.0,-3.806655926048336,2021,2022.0,0.2481886420386156,0.1477051263211106,-0.100483515717505,False,False,하락 후 비중 비증가
경남,2020,1-2. 주거안정성,80.2175650951705,77.49671282681227,2021.0,-2.720852268358229,2022,2023.0,0.1477051263211106,0.1462808679982095,-0.0014242583229011,False,False,하락 후 비중 비증가
경북,2017,1-2. 주거안정성,91.18696414170492,89.9930336169655,2018.0,-1.1939305247394143,2019,2020.0,0.0407658423454963,0.2350258849650314,0.1942600426195351,False,True,하락 후 비중 증가
경북,2018,1-2. 주거안정성,89.9930336169655,89.6363499880756,2019.0,-0.3566836288899111,2020,2021.0,0.2350258849650314,0.0762570156454393,-0.1587688693195921,False,False,하락 후 비중 비증가
