지역,기준연도,세부영역,구조환경지수_t,구조환경지수_t1,구조환경_t1연도,구조환경지수_변화_t_t1,예산_t2연도,예산_t3연도,계획예산비중_t2_pct,계획예산비중_t3_pct,계획예산비중_변화_t2_t3_pp,예산누락주의_두연도
강원,2020,3-1. 의료서비스 여건,29.507339394449595,32.89279545010279,2021.0,3.3854560556531936,2022,2023.0,5.022245764476405,0.4973841579190824,-4.524861606557322,False
강원,2021,3-1. 의료서비스 여건,32.89279545010279,35.46888264691613,2022.0,2.57608719681334,2023,2024.0,0.4973841579190824,0.5148804708018522,0.01749631288276976,False
경기,2016,3-1. 의료서비스 여건,29.26124558617447,30.40432278682049,2017.0,1.1430772006460188,2018,2019.0,0.7701599484539732,0.2366209309080305,-0.5335390175459427,True
경기,2017,3-1. 의료서비스 여건,30.40432278682049,31.273649930033148,2018.0,0.8693271432126579,2019,2020.0,0.2366209309080305,1.719223777649668,1.4826028467416374,True
경기,2018,3-1. 의료서비스 여건,31.273649930033148,31.088683960367693,2019.0,-0.18496596966545553,2020,2021.0,1.719223777649668,0.3773862718771988,-1.3418375057724692,True
경기,2019,3-1. 의료서비스 여건,31.088683960367693,32.86464674556255,2020.0,1.77596278519486,2021,2022.0,0.3773862718771988,0.397674558736466,0.0202882868592672,False
경기,2020,3-1. 의료서비스 여건,32.86464674556255,32.417330946117225,2021.0,-0.4473157994453274,2022,2023.0,0.397674558736466,0.3516284191364522,-0.0460461396000138,False
경기,2021,3-1. 의료서비스 여건,32.417330946117225,32.95051032721774,2022.0,0.533179381100517,2023,2024.0,0.3516284191364522,0.7972991227227971,0.4456707035863449,False
경남,2016,3-1. 의료서비스 여건,33.260437248978945,34.608792308836584,2017.0,1.3483550598576386,2018,2019.0,0.312927048381643,0.407438804704885,0.09451175632324205,False
경남,2017,3-1. 의료서비스 여건,34.608792308836584,35.1418723973094,2018.0,0.5330800884728149,2019,2020.0,0.407438804704885,0.7424841560869176,0.3350453513820326,False
경남,2018,3-1. 의료서비스 여건,35.1418723973094,32.74518990164722,2019.0,-2.3966824956621764,2020,2021.0,0.7424841560869176,0.4430750872295074,-0.29940906885741025,False
경남,2019,3-1. 의료서비스 여건,32.74518990164722,32.60108642839666,2020.0,-0.14410347325055994,2021,2022.0,0.4430750872295074,0.4506088882221309,0.007533800992623518,False
경남,2020,3-1. 의료서비스 여건,32.60108642839666,34.97129476397165,2021.0,2.3702083355749863,2022,2023.0,0.4506088882221309,0.4516575887437694,0.0010487005216384682,False
경남,2021,3-1. 의료서비스 여건,34.97129476397165,36.615009454469224,2022.0,1.6437146904975748,2023,2024.0,0.4516575887437694,0.5156217018906294,0.06396411314686001,False
경북,2016,3-1. 의료서비스 여건,23.171366410012286,23.39722858204287,2017.0,0.22586217203058467,2018,2019.0,0.6868020865789553,0.6986638211212757,0.011861734542320423,False
경북,2017,3-1. 의료서비스 여건,23.39722858204287,23.72369534347041,2018.0,0.3264667614275396,2019,2020.0,0.6986638211212757,0.4604164643567375,-0.23824735676453818,False
경북,2018,3-1. 의료서비스 여건,23.72369534347041,21.743477550484265,2019.0,-1.9802177929861458,2020,2021.0,0.4604164643567375,0.4589859767098573,-0.0014304876468801964,False
경북,2019,3-1. 의료서비스 여건,21.743477550484265,22.80914137869747,2020.0,1.0656638282132036,2021,2022.0,0.4589859767098573,0.4257918433810565,-0.03319413332880078,False
경북,2020,3-1. 의료서비스 여건,22.80914137869747,19.301334896287617,2021.0,-3.507806482409851,2022,2023.0,0.4257918433810565,0.585412932741502,0.15962108936044545,False
경북,2021,3-1. 의료서비스 여건,19.301334896287617,14.892547612462208,2022.0,-4.40878728382541,2023,2024.0,0.585412932741502,0.4508571380749677,-0.13455579466653428,False
