지역,연도,세부영역,합계출산율,세부영역_재정대응지수_z_전년도,세부영역_재정대응지수_z_전전년도
경남,2022,3-2. 산후조리 여건,0.838,0.4635156135903215,0.2122828278854864
경남,2023,3-2. 산후조리 여건,0.799,0.4931229589481574,0.4635156135903215
경남,2024,3-2. 산후조리 여건,0.82,0.7346135173419381,0.4931229589481574
경남,2016,3-3. 아동안전 수준,1.358,,
경남,2017,3-3. 아동안전 수준,1.227,-1.3861048521813446,
경남,2018,3-3. 아동안전 수준,1.122,-1.0966260861382904,-1.3861048521813446
경남,2019,3-3. 아동안전 수준,1.046,-1.4180469157588893,-1.0966260861382904
경남,2020,3-3. 아동안전 수준,0.945,-0.2020760449476384,-1.4180469157588893
경남,2021,3-3. 아동안전 수준,0.903,-0.0283320763146651,-0.2020760449476384
경남,2022,3-3. 아동안전 수준,0.838,-0.1879657895847916,-0.0283320763146651
경남,2023,3-3. 아동안전 수준,0.799,0.3571474287835536,-0.1879657895847916
경남,2024,3-3. 아동안전 수준,0.82,-0.1705336931379603,0.3571474287835536
경남,2016,4-1. 일·가정 양립 여건,1.358,,
경남,2017,4-1. 일·가정 양립 여건,1.227,0.30814792175514,
경남,2018,4-1. 일·가정 양립 여건,1.122,0.3428707278692929,0.30814792175514
경남,2019,4-1. 일·가정 양립 여건,1.046,-3.177458244964427,0.3428707278692929
경남,2020,4-1. 일·가정 양립 여건,0.945,0.5282040533478943,-3.177458244964427
경남,2021,4-1. 일·가정 양립 여건,0.903,0.34142361913813,0.5282040533478943
경남,2022,4-1. 일·가정 양립 여건,0.838,0.5110686714405224,0.34142361913813
경남,2023,4-1. 일·가정 양립 여건,0.799,0.5753707584041036,0.5110686714405224
경남,2024,4-1. 일·가정 양립 여건,0.82,0.3561017036045366,0.5753707584041036
경남,2016,4-2. 사회적 가치관,1.358,,
경남,2017,4-2. 사회적 가치관,1.227,2.860763748491346,
경남,2018,4-2. 사회적 가치관,1.122,-0.5322514431445124,2.860763748491346
경남,2019,4-2. 사회적 가치관,1.046,-3.4142273016969247,-0.5322514431445124
경남,2020,4-2. 사회적 가치관,0.945,0.5028806843366946,-3.4142273016969247
경남,2021,4-2. 사회적 가치관,0.903,0.480850127398906,0.5028806843366946
경남,2022,4-2. 사회적 가치관,0.838,-0.158082079056496,0.480850127398906
경남,2023,4-2. 사회적 가치관,0.799,-0.1556806148596215,-0.158082079056496
경남,2024,4-2. 사회적 가치관,0.82,-0.0211176447919926,-0.1556806148596215
경북,2016,1-1. 고용여건,1.396,,
경북,2017,1-1. 고용여건,1.256,0.0260800159161385,
경북,2018,1-1. 고용여건,1.167,-0.1656765156878396,0.0260800159161385
경북,2019,1-1. 고용여건,1.089,-0.0534382403721464,-0.1656765156878396
경북,2020,1-1. 고용여건,1.003,-0.1263487233886573,-0.0534382403721464
경북,2021,1-1. 고용여건,0.966,-0.2173189715716946,-0.1263487233886573
경북,2022,1-1. 고용여건,0.93,0.0256837967541324,-0.2173189715716946
경북,2023,1-1. 고용여건,0.86,0.3609179025051388,0.0256837967541324
경북,2024,1-1. 고용여건,0.897,0.3335006860247017,0.3609179025051388
경북,2016,1-2. 주거안정성,1.396,,
경북,2017,1-2. 주거안정성,1.256,-2.1430285928748103,
경북,2018,1-2. 주거안정성,1.167,-2.1430285928748103,-2.1430285928748103
경북,2019,1-2. 주거안정성,1.089,-2.1430285928748103,-2.1430285928748103
경북,2020,1-2. 주거안정성,1.003,-0.3278011195435776,-2.1430285928748103
경북,2021,1-2. 주거안정성,0.966,0.2569774768619322,-0.3278011195435776
경북,2022,1-2. 주거안정성,0.93,-0.0334738131002098,0.2569774768619322
경북,2023,1-2. 주거안정성,0.86,0.2925514258461419,-0.0334738131002098
경북,2024,1-2. 주거안정성,0.897,-0.88553320459577,0.2925514258461419
경북,2016,1-3. 경제적 여건,1.396,,
경북,2017,1-3. 경제적 여건,1.256,-0.7548593922854004,
경북,2018,1-3. 경제적 여건,1.167,-0.7478349431362957,-0.7548593922854004
경북,2019,1-3. 경제적 여건,1.089,-0.7928847008593147,-0.7478349431362957
