지역,연도,세부영역,당해계획예산_백만원_provisional,사업수,예산결측_사업수,지역연도_전체계획예산_백만원,계획예산비중_pct,예산누락주의
전남,2019,2-2. 여가 인프라,6235.0,8,0,1540331.0,0.4047831277822754,False
전남,2020,2-2. 여가 인프라,1190.0,10,0,1840688.0,0.06464973966256095,False
전남,2021,2-2. 여가 인프라,1376.0,11,0,1966392.4200000002,0.0699758596506388,False
전남,2022,2-2. 여가 인프라,6933.4,17,1,2258897.4,0.30693735802254674,True
전남,2023,2-2. 여가 인프라,13535.0,18,0,2712169.0,0.499047072656608,False
전남,2024,2-2. 여가 인프라,9882.0,15,0,2621833.0,0.37691187806393467,False
전남,2016,2-3. 가사수행 격차,13.0,1,0,1883686.0,0.0006901362541315273,False
전남,2017,2-3. 가사수행 격차,13.0,1,0,1197280.0,0.0010857944674595751,False
전남,2018,2-3. 가사수행 격차,32.0,4,0,1647546.0,0.0019422826433981208,False
전남,2019,2-3. 가사수행 격차,24.0,5,0,1540331.0,0.001558106666683979,False
전남,2020,2-3. 가사수행 격차,85.0,5,0,1840688.0,0.004617838547325783,False
전남,2021,2-3. 가사수행 격차,44.0,3,0,1966392.4200000002,0.0022376001632471707,False
전남,2022,2-3. 가사수행 격차,23.0,3,0,2258897.4,0.0010181958684799053,False
전남,2023,2-3. 가사수행 격차,18.0,1,0,2712169.0,0.0006636754568022863,False
전남,2024,2-3. 가사수행 격차,0.0,0,0,2621833.0,0.0,False
전남,2016,3-1. 의료서비스 여건,15088.2,130,2,1883686.0,0.8009933715067162,True
전남,2017,3-1. 의료서비스 여건,141389.0,126,1,1197280.0,11.80918415074168,True
전남,2018,3-1. 의료서비스 여건,113169.0,66,1,1647546.0,6.868943264710059,True
전남,2019,3-1. 의료서비스 여건,7393.0,81,0,1540331.0,0.47996177444977733,False
전남,2020,3-1. 의료서비스 여건,8992.0,75,0,1840688.0,0.4885129907947463,False
전남,2021,3-1. 의료서비스 여건,6214.889999999999,84,0,1966392.4200000002,0.31605542905825473,False
전남,2022,3-1. 의료서비스 여건,5872.1,86,1,2258897.4,0.25995425910003706,True
전남,2023,3-1. 의료서비스 여건,5634.0,99,0,2712169.0,0.20773041797911562,False
전남,2024,3-1. 의료서비스 여건,3391.0,71,0,2621833.0,0.12933699438522592,False
전남,2016,3-2. 산후조리 여건,6049.0,25,0,1883686.0,0.321125707787816,False
전남,2017,3-2. 산후조리 여건,28737.0,24,0,1197280.0,2.400190431645062,False
전남,2018,3-2. 산후조리 여건,7145.0,12,0,1647546.0,0.43367529647123665,False
전남,2019,3-2. 산후조리 여건,8924.0,18,0,1540331.0,0.5793559955619928,False
전남,2020,3-2. 산후조리 여건,11152.0,22,0,1840688.0,0.6058604174091426,False
전남,2021,3-2. 산후조리 여건,8700.0,27,0,1966392.4200000002,0.44243457773296335,False
전남,2022,3-2. 산후조리 여건,11844.7,29,0,2258897.4,0.5243575914514754,False
전남,2023,3-2. 산후조리 여건,3769.0,31,0,2712169.0,0.1389662664826565,False
전남,2024,3-2. 산후조리 여건,4636.0,22,0,2621833.0,0.17682285637567305,False
전남,2016,3-3. 아동안전 수준,4.0,1,0,1883686.0,0.00021234961665585452,False
전남,2017,3-3. 아동안전 수준,0.0,0,0,1197280.0,0.0,False
전남,2018,3-3. 아동안전 수준,689.0,3,0,1647546.0,0.041819773165665784,False
전남,2019,3-3. 아동안전 수준,83.0,4,0,1540331.0,0.005388452222282094,False
전남,2020,3-3. 아동안전 수준,38.0,3,0,1840688.0,0.002064445468216232,False
전남,2021,3-3. 아동안전 수준,582.25,3,0,1966392.4200000002,0.029610061251151485,False
전남,2022,3-3. 아동안전 수준,4554.2,5,0,2258897.4,0.20161163583613845,False
전남,2023,3-3. 아동안전 수준,51.0,3,0,2712169.0,0.0018804137942731445,False
전남,2024,3-3. 아동안전 수준,14.0,1,0,2621833.0,0.0005339775645512129,False
전남,2016,4-1. 일·가정 양립 여건,476.0,7,1,1883686.0,0.02526960438204669,True
전남,2017,4-1. 일·가정 양립 여건,125.0,4,0,1197280.0,0.01044033141788053,False
전남,2018,4-1. 일·가정 양립 여건,74194.0,8,0,1647546.0,4.5033037013837545,False
전남,2019,4-1. 일·가정 양립 여건,760.0,8,0,1540331.0,0.04934004444499267,False
전남,2020,4-1. 일·가정 양립 여건,185.0,7,0,1840688.0,0.010050589779473762,False
전남,2021,4-1. 일·가정 양립 여건,182.6,6,0,1966392.4200000002,0.00928604067747576,False
전남,2022,4-1. 일·가정 양립 여건,199.6,8,2,2258897.4,0.008836169362982135,True
