지역,연도,세부영역,당해계획예산_백만원_provisional,사업수,예산결측_사업수,CPI_지수,CPI_기준연도,당해계획예산_실질_백만원_provisional,전년대비_실질증감률_pct_provisional,전체인구_명,인구1인당_실질예산_원,직전1년_출산율하락도,합계출산율,구조환경지수_전년도,인구1인당_실질예산_전년도,인구1인당_실질예산_전전년도
전북,2018,3-1. 의료서비스 여건,32308.0,33,0,86.797969,2024,37222.06910163993,-2.867693229954482,1836832,20264.27517684793,0.09999999999999987,1.044,46.35008563442698,20662.59739128347,19727.37585903778
전북,2019,3-1. 의료서비스 여건,36294.0,31,0,87.068452,2024,41684.443867223,11.988518836494432,1818917,22917.17756622375,0.10699999999999998,0.971,47.1237777347055,20264.27517684793,20662.59739128347
전북,2020,3-1. 의료서비스 여건,36351.0,34,0,87.535014,2024,41527.38240265775,-0.3767867578263417,1804104,23018.28630869271,0.07300000000000006,0.909,45.65825886859021,22917.17756622375,20264.27517684793
전북,2021,3-1. 의료서비스 여건,22859.0,35,0,89.802171,2024,25454.841175276262,-38.70347779578047,1786855,14245.610961872262,0.061999999999999944,0.85,45.12044369179129,23018.28630869271,22917.17756622375
전북,2022,3-1. 의료서비스 여건,39596.0,39,0,94.590336,2024,41860.513107808394,64.45010526511005,1769607,23655.259675062534,0.05900000000000005,0.817,44.16968881201424,14245.610961872262,23018.28630869271
전북,2023,3-1. 의료서비스 여건,39465.0,40,0,97.706583,2024,40391.34190170175,-3.5096827464176306,1754757,23018.196765536057,0.03300000000000003,0.78,41.51222734278776,23655.259675062534,14245.610961872262
전북,2024,3-1. 의료서비스 여건,43303.0,42,0,100.0,2024,43303.0,7.208619375370584,1738690,24905.532326061577,0.03699999999999992,0.808,37.82643026396246,23018.196765536057,23655.259675062534
전북,2016,3-2. 산후조리 여건,2785.0,4,0,83.786765,2024,3323.9139856992924,,1864791,1782.4592598845086,,1.251,,,
전북,2017,3-2. 산후조리 여건,3237.0,4,0,85.339636,2024,3793.0792205394455,14.114842828625385,1854607,2045.2199417663392,,1.151,53.75646363769341,1782.4592598845086,
전북,2018,3-2. 산후조리 여건,3588.0,7,0,86.797969,2024,4133.737276732823,8.981042482548784,1836832,2250.471070153843,0.09999999999999987,1.044,54.58966443918823,2045.2199417663392,1782.4592598845086
전북,2019,3-2. 산후조리 여건,6270.0,10,0,87.068452,2024,7201.230590386516,74.20629586015065,1818917,3959.075972343167,0.10699999999999998,0.971,55.34499466205184,2250.471070153843,2045.2199417663392
전북,2020,3-2. 산후조리 여건,7199.0,13,0,87.535014,2024,8224.137600526345,14.204614021183914,1804104,4558.571789944673,0.07300000000000006,0.909,55.48230716912501,3959.075972343167,2250.471070153843
전북,2021,3-2. 산후조리 여건,7603.4,14,0,89.802171,2024,8466.833168209261,2.951015406981816,1786855,4738.399684478741,0.061999999999999944,0.85,55.717166188705725,4558.571789944673,3959.075972343167
전북,2022,3-2. 산후조리 여건,7279.8,16,0,94.590336,2024,7696.135047030598,-9.10255470808652,1769607,4349.06453638045,0.05900000000000005,0.817,56.82367139750074,4738.399684478741,4558.571789944673
