지역,지표_id,연도,원본파일,원본행번호,입력값,최종값,절대차,허용오차,결과
제주,after_school_care_supply,2017,구조환경지표_21개_검증본.csv,90,1.3712576094409008,1.3712576094409008,0.0,1e-12,PASS
제주,after_school_care_supply,2018,구조환경지표_21개_검증본.csv,90,1.326819854049816,1.326819854049816,0.0,1e-12,PASS
제주,after_school_care_supply,2019,구조환경지표_21개_검증본.csv,90,1.322883886873384,1.322883886873384,0.0,1e-12,PASS
제주,after_school_care_supply,2020,구조환경지표_21개_검증본.csv,90,1.3416905300678856,1.3416905300678856,0.0,1e-12,PASS
제주,after_school_care_supply,2021,구조환경지표_21개_검증본.csv,90,1.3466413181242078,1.3466413181242078,0.0,1e-12,PASS
제주,after_school_care_supply,2022,구조환경지표_21개_검증본.csv,90,1.3904614345589257,1.3904614345589257,0.0,1e-12,PASS
제주,after_school_care_supply,2023,구조환경지표_21개_검증본.csv,90,1.418235632656417,1.418235632656417,0.0,1e-12,PASS
제주,after_school_care_supply,2024,구조환경지표_21개_검증본.csv,90,1.574973031283711,1.574973031283711,0.0,1e-12,PASS
충남,after_school_care_supply,2016,구조환경지표_21개_검증본.csv,85,1.6285353990272022,1.6285353990272022,0.0,1e-12,PASS
충남,after_school_care_supply,2017,구조환경지표_21개_검증본.csv,85,1.705502377043938,1.705502377043938,0.0,1e-12,PASS
충남,after_school_care_supply,2018,구조환경지표_21개_검증본.csv,85,1.6740063626133947,1.6740063626133947,0.0,1e-12,PASS
충남,after_school_care_supply,2019,구조환경지표_21개_검증본.csv,85,1.6856945827905907,1.6856945827905907,0.0,1e-12,PASS
충남,after_school_care_supply,2020,구조환경지표_21개_검증본.csv,85,1.8176654359556943,1.8176654359556943,0.0,1e-12,PASS
충남,after_school_care_supply,2021,구조환경지표_21개_검증본.csv,85,1.9180533190195024,1.9180533190195024,0.0,1e-12,PASS
충남,after_school_care_supply,2022,구조환경지표_21개_검증본.csv,85,2.0255362245451587,2.0255362245451587,0.0,1e-12,PASS
충남,after_school_care_supply,2023,구조환경지표_21개_검증본.csv,85,2.017831653052531,2.017831653052531,0.0,1e-12,PASS
충남,after_school_care_supply,2024,구조환경지표_21개_검증본.csv,85,2.2768705939424287,2.2768705939424287,0.0,1e-12,PASS
충북,after_school_care_supply,2016,구조환경지표_21개_검증본.csv,84,1.8236780811734967,1.8236780811734967,0.0,1e-12,PASS
충북,after_school_care_supply,2017,구조환경지표_21개_검증본.csv,84,1.837413716045091,1.837413716045091,0.0,1e-12,PASS
충북,after_school_care_supply,2018,구조환경지표_21개_검증본.csv,84,1.807170069356257,1.807170069356257,0.0,1e-12,PASS
충북,after_school_care_supply,2019,구조환경지표_21개_검증본.csv,84,1.8766127140511373,1.8766127140511373,0.0,1e-12,PASS
충북,after_school_care_supply,2020,구조환경지표_21개_검증본.csv,84,1.9892975790248464,1.9892975790248464,0.0,1e-12,PASS
충북,after_school_care_supply,2021,구조환경지표_21개_검증본.csv,84,2.086447121605762,2.086447121605762,0.0,1e-12,PASS
충북,after_school_care_supply,2022,구조환경지표_21개_검증본.csv,84,2.1528743919653106,2.1528743919653106,0.0,1e-12,PASS
충북,after_school_care_supply,2023,구조환경지표_21개_검증본.csv,84,2.2908902800798114,2.2908902800798114,0.0,1e-12,PASS
충북,after_school_care_supply,2024,구조환경지표_21개_검증본.csv,84,2.4440143765551565,2.4440143765551565,0.0,1e-12,PASS
강원,child_traffic_accident_rate,2016,구조환경지표_21개_검증본.csv,245,372.2624108186044,372.2624108186044,0.0,1e-12,PASS
강원,child_traffic_accident_rate,2017,구조환경지표_21개_검증본.csv,245,321.3499257438419,321.3499257438419,0.0,1e-12,PASS
강원,child_traffic_accident_rate,2018,구조환경지표_21개_검증본.csv,245,250.5952459253608,250.5952459253608,0.0,1e-12,PASS
강원,child_traffic_accident_rate,2019,구조환경지표_21개_검증본.csv,245,246.63646993992015,246.63646993992012,2.842170943040401e-14,1e-12,PASS
강원,child_traffic_accident_rate,2020,구조환경지표_21개_검증본.csv,245,240.2327341401265,240.2327341401265,0.0,1e-12,PASS
강원,child_traffic_accident_rate,2021,구조환경지표_21개_검증본.csv,245,228.5067549175513,228.5067549175513,0.0,1e-12,PASS
강원,child_traffic_accident_rate,2022,구조환경지표_21개_검증본.csv,245,271.7752536815208,271.7752536815208,0.0,1e-12,PASS
강원,child_traffic_accident_rate,2023,구조환경지표_21개_검증본.csv,245,212.05859963647097,212.05859963647097,0.0,1e-12,PASS
강원,child_traffic_accident_rate,2024,구조환경지표_21개_검증본.csv,245,261.2933611827825,261.2933611827825,0.0,1e-12,PASS
경기,child_traffic_accident_rate,2016,구조환경지표_21개_검증본.csv,244,177.58693808312128,177.58693808312128,0.0,1e-12,PASS
경기,child_traffic_accident_rate,2017,구조환경지표_21개_검증본.csv,244,171.01357280212088,171.01357280212088,0.0,1e-12,PASS
경기,child_traffic_accident_rate,2018,구조환경지표_21개_검증본.csv,244,176.60833504127402,176.60833504127402,0.0,1e-12,PASS
경기,child_traffic_accident_rate,2019,구조환경지표_21개_검증본.csv,244,184.4782991606237,184.4782991606237,0.0,1e-12,PASS
경기,child_traffic_accident_rate,2020,구조환경지표_21개_검증본.csv,244,146.48117574173125,146.48117574173125,0.0,1e-12,PASS
경기,child_traffic_accident_rate,2021,구조환경지표_21개_검증본.csv,244,173.64791269209593,173.64791269209593,0.0,1e-12,PASS
경기,child_traffic_accident_rate,2022,구조환경지표_21개_검증본.csv,244,183.0884819950388,183.0884819950388,0.0,1e-12,PASS
경기,child_traffic_accident_rate,2023,구조환경지표_21개_검증본.csv,244,180.43748024112813,180.43748024112813,0.0,1e-12,PASS
경기,child_traffic_accident_rate,2024,구조환경지표_21개_검증본.csv,244,201.12585618678835,201.12585618678835,0.0,1e-12,PASS
경남,child_traffic_accident_rate,2016,구조환경지표_21개_검증본.csv,251,152.41466622417246,152.41466622417246,0.0,1e-12,PASS
